#,Domain Rating,URL Rating (desc),Referring Domains,Referring Page URL,Referring Page Title,Internal Links Count,External Links Count,Link URL,TextPre,Link Anchor,TextPost,Type,Backlink Status,First Seen,Last Check,Day Lost,Language,Traffic,Keywords,Js rendered,Linked Domains
1,78,12,1,https://themanifest.com/in/web-development/php/companies,Top 50+ PHP Developers in India | February 2020 | The Manifest,16,172,https://www.glocify.com/,,Visit site,,Dofollow,,15-12-2019 03:31,07-02-2020 05:58,,en,0,1,,65
2,78,11,0,https://seositecheckup.com/seo-audit/www.glocify.com,www.glocify.com SEO Report | SEO Site Checkup,23,37,https://www.glocify.com/,,https://www.glocify.com,,Dofollow,,04-12-2019 09:23,04-12-2019 09:23,,en,0,0,,20
3,78,11,0,https://seositecheckup.com/seo-audit/www.glocify.com,www.glocify.com SEO Report | SEO Site Checkup,23,37,http://www.glocify.com/,https://www.glocify.com and,https://glocify.com,resolve to the same URL.,Dofollow,,04-12-2019 09:23,04-12-2019 09:23,,en,0,0,,20
4,78,11,0,https://seositecheckup.com/seo-audit/www.glocify.com,www.glocify.com SEO Report | SEO Site Checkup,23,37,https://www.glocify.com/robots.txt,"Congratulations! Your site uses a ""robots.txt"" file:",https://www.glocify.com/robots.txt,,Dofollow,,04-12-2019 09:23,04-12-2019 09:23,,en,0,0,,20
5,78,11,0,https://seositecheckup.com/seo-audit/www.glocify.com,www.glocify.com SEO Report | SEO Site Checkup,23,37,https://www.glocify.com/sitemap.xml,,https://www.glocify.com/sitemap.xml,,Dofollow,,04-12-2019 09:23,04-12-2019 09:23,,en,0,0,,20
6,71,10,0,https://newswire.net/profile/deepak,Newswire.net - Member Profile - Deepak Sharma,116,9,https://www.glocify.com/,,http://www.glocify.com/,,Dofollow,,28-10-2018 14:35,18-12-2019 00:19,,en,0,0,,7
7,71,10,0,https://newswire.net/profile/deepak,Newswire.net - Member Profile - Deepak Sharma,116,9,http://www.glocify.com/,,http://www.glocify.com/,,Dofollow,,20-05-2018 03:20,18-12-2019 00:19,,en,0,0,,7
8,27,8,0,https://hitfront.com/rank?domain=glocify.com,glocify.com Rank | Hitfront,2039,23,https://www.glocify.com/,Who is Hit Front,glocify.com,,Dofollow,,05-06-2019 10:57,30-01-2020 06:53,,,0,0,,13
9,27,8,0,https://hitfront.com/rank?domain=glocify.com,glocify.com Rank | Hitfront,2039,23,http://www.glocify.com/,Who is Hit Front,glocify.com,,Dofollow,,05-06-2019 10:57,30-01-2020 06:53,,,0,0,,13
10,15,6,0,https://www.producthood.com/vendor/glocify/,Glocify is a top service provider for your business growth requirements,70,7,https://www.glocify.com/,,Website,,Dofollow,,16-08-2019 04:24,01-02-2020 22:43,,en,0.13,1,,6
11,15,6,0,https://www.producthood.com/vendor/glocify/,Glocify is a top service provider for your business growth requirements,70,7,http://www.glocify.com/,,Website,,Dofollow,,16-08-2019 04:24,01-02-2020 22:43,,en,0.13,1,,6
12,0,0,0,https://junkcarslansing.com/author/bradley/,"Bradley Glonka, Author at Junk Car Lansing",85,6,https://www.glocify.com/,,Testing Outbound Links,,Dofollow,,23-10-2019 08:44,11-01-2020 19:21,,en,0,0,,3
13,0,0,0,https://junkcarslansing.com/author/bradley/,"Bradley Glonka, Author at Junk Car Lansing",85,6,http://www.glocify.com/,,Testing Outbound Links,,Dofollow,,23-10-2019 08:44,11-01-2020 19:21,,en,0,0,,3
14,0,0,0,https://junkcarslansing.com/category/uncategorized/,Uncategorized Archives - Junk Car Lansing,85,6,https://www.glocify.com/,,Testing Outbound Links,,Dofollow,,22-10-2019 16:01,11-02-2020 17:11,,en,0,0,,3
15,0,0,0,https://junkcarslansing.com/category/uncategorized/,Uncategorized Archives - Junk Car Lansing,85,6,http://www.glocify.com/,,Testing Outbound Links,,Dofollow,,22-10-2019 16:01,11-02-2020 17:11,,en,0,0,,3
16,0,0,0,https://junkcarslansing.com/test-2/,Test - Junk Car Lansing,86,6,https://www.glocify.com/,,TEST Outbound,,Dofollow,,17-10-2019 13:12,10-02-2020 15:19,,en,0,0,,3
17,0,0,0,https://junkcarslansing.com/test-2/,Test - Junk Car Lansing,86,6,http://www.glocify.com/,,TEST Outbound,,Dofollow,,17-10-2019 13:12,10-02-2020 15:19,,en,0,0,,3
18,0,0,0,https://junkcarslansing.com/test/,Test - Junk Car Lansing,86,6,https://www.glocify.com/,,Testing Outbound Links,,Dofollow,,18-10-2019 09:16,10-01-2020 17:08,,en,0,0,,3
19,0,0,0,https://junkcarslansing.com/test/,Test - Junk Car Lansing,86,6,http://www.glocify.com/,,Testing Outbound Links,,Dofollow,,18-10-2019 09:16,10-01-2020 17:08,,en,0,0,,3
