Url,Keyword,Search Volume,Position
https://www.diamondpet.com/,diamond dog food,27100,1
https://www.diamondpet.com/dog/diamond-naturals/,diamond naturals dog food,14800,1
https://www.diamondpet.com/dog/diamond/puppy/,diamond puppy food,8100,1
https://www.diamondpet.com/blog/health/sensitive-skin/the-12-lumps-and-bumps-of-canine-skin/,dog cyst,8100,1
https://www.diamondpet.com/dog/diamond-naturals/,diamond naturals,8100,1
https://www.diamondpet.com/,diamond pet food,3600,1
https://www.diamondpet.com/dog/diamond-naturals/large-breed-puppy-lamb-rice/,diamond naturals puppy food,2900,1
https://www.diamondpet.com/blog/health/renal/infection-disease-failure-trouble/,kidney infection in dogs,1600,1
https://www.diamondpet.com/blog/health/sensitive-skin/the-12-lumps-and-bumps-of-canine-skin/,sudden lumps on dog,1600,1
https://www.diamondpet.com/blog/culture/myths/debarking-pet-myths-giving-benadryl-claritin-pets/,can dogs take claritin,1600,1
https://www.diamondpet.com/dog/diamond-naturals/large-breed-puppy-lamb-rice/,diamond naturals large breed puppy,1300,1
https://www.diamondpet.com/blog/health/sensitive-skin/the-12-lumps-and-bumps-of-canine-skin/,hard movable lump under skin dog,1300,1
https://www.diamondpet.com/dog/diamond-naturals/large-breed-puppy-lamb-rice/,diamond naturals large breed puppy food,1300,1
https://www.diamondpet.com/dog/diamond-naturals-grain-free/,diamond grain free dog food,1000,1
https://www.diamondpet.com/where-to-buy/,diamond dog food near me,880,1
https://www.diamondpet.com/dog/diamond/puppy/,blue diamond puppy food,880,1
https://www.diamondpet.com/dog/diamond/hi-energy/,diamond high energy,880,1
https://www.diamondpet.com/dog/diamond-naturals/large-breed-puppy-lamb-rice/,diamond large breed puppy food,880,1
https://www.diamondpet.com/blog/health/weight-management/why-or-is-my-cat-fat/,is my cat fat,880,1
