Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,
diamond dog food,1,1,27100,81.42,1.91,https://www.diamondpet.com/,21680,16.16,41408,1,164000000,"[67,67,67,82,67,82,67,67,82,100,82,82]",1579574002,"Site links, Reviews, Featured snippet",
diamond,11,15,301000,78.93,3.2,https://www.diamondpet.com/,14147,10.55,45270,1,3070000000,"[67,82,82,82,67,67,67,67,67,82,100,100]",1579575328,"Knowledge panel, Site links",
diamond naturals dog food,1,1,14800,82.03,1.57,https://www.diamondpet.com/dog/diamond-naturals/,6956,5.18,10920,1,7210000,"[45,55,45,55,55,55,55,67,82,100,82,67]",1579574077,"Image pack, Site links, Reviews",
diamond puppy food,1,1,8100,79.8,1.41,https://www.diamondpet.com/dog/diamond/puppy/,3807,2.83,5367,1,33900000,"[67,82,100,100,82,82,82,82,82,100,100,100]",1579575280,"Site links, Reviews",
dog cyst,1,1,8100,81.13,0.69,https://www.diamondpet.com/blog/health/sensitive-skin/the-12-lumps-and-bumps-of-canine-skin/,3807,2.83,2626,0.02,3390000,"[55,55,55,67,55,55,55,55,67,100,100,100]",1579575398,"Image pack, Video, Featured snippet",
diamond naturals,1,1,8100,80.94,1.34,https://www.diamondpet.com/dog/diamond-naturals/,3807,2.83,5101,1,79100000,"[67,55,82,100,82,82,67,67,67,100,100,82]",1579500240,"Image pack, Site links, Reviews",
dog diarrhea,6,5,60500,82.12,1.14,https://www.diamondpet.com/blog/health/sensitive-stomach/when-should-worry-doggy-diarrhea/,3025,2.25,3448,0.14,39800000,"[67,55,67,82,67,67,82,82,82,100,100,100]",1579573633,"Image pack, Reviews",
diamond pet food,1,1,3600,73.04,1.38,https://www.diamondpet.com/,2880,2.14,3974,0.89,214000000,"[66,66,66,82,82,100,82,66,82,100,82,66]",1579549600,"Local pack, Site links, Reviews",
diamond naturals puppy food,1,1,2900,79.61,1.41,https://www.diamondpet.com/dog/diamond-naturals/large-breed-puppy-lamb-rice/,1363,1.01,1921,1,6390000,"[66,36,66,82,66,66,66,82,82,100,100,66]",1578721091,"Site links, Reviews, Video, Featured snippet",
blue diamond dog food,2,2,8100,84.28,0.87,https://www.diamondpet.com/dog/diamond-naturals/,1053,0.78,916,1,263000000,"[67,55,67,67,67,67,82,67,82,100,82,67]",1579499628,"Site links, Reviews, Featured snippet",
dog has diarrhea,4,4,14800,81.17,1.62,https://www.diamondpet.com/blog/health/sensitive-stomach/when-should-worry-doggy-diarrhea/,1036,0.77,1678,0.05,23000000,"[67,67,67,67,67,82,82,82,82,100,100,82]",1579490675,Reviews,
kidney infection in dogs,1,1,1600,82.5,0.93,https://www.diamondpet.com/blog/health/renal/infection-disease-failure-trouble/,752,0.56,699,0.1,18200000,"[84,68,68,100,84,100,84,84,84,84,84,84]",1578240867,Reviews,
sudden lumps on dog,1,1,1600,77.54,0.74,https://www.diamondpet.com/blog/health/sensitive-skin/the-12-lumps-and-bumps-of-canine-skin/,752,0.56,556,0.03,896000,"[11,13,17,20,20,30,34,55,83,100,100,100]",1577215331,"Image pack, Reviews, Featured snippet",
can dogs take claritin,1,1,1600,72.37,12,https://www.diamondpet.com/blog/culture/myths/debarking-pet-myths-giving-benadryl-claritin-pets/,752,0.56,9024,0.06,729000,"[68,46,38,38,46,68,100,100,100,100,100,100]",1578394282,"Site links, Reviews, Video, Featured snippet",
blue diamond dog food,3,3,8100,84.28,0.87,https://www.diamondpet.com/,729,0.54,634,1,263000000,"[67,55,67,67,67,67,82,67,82,100,82,67]",1579499628,"Site links, Reviews, Featured snippet",
diamond dog food near me,1,1,880,81.28,2.01,https://www.diamondpet.com/where-to-buy/,704,0.52,1415,1,215000000,"[100,100,72,59,59,59,72,72,72,100,100,100]",1578681069,"Local pack, Image pack, Site links, Reviews, Video",
diamond naturals large breed puppy,1,1,1300,74.85,1.24,https://www.diamondpet.com/dog/diamond-naturals/large-breed-puppy-lamb-rice/,611,0.45,757,1,5360000,"[34,66,55,100,100,83,55,20,20,20,20,13]",1578194163,"Site links, Reviews",
hard movable lump under skin dog,1,1,1300,77.16,0,https://www.diamondpet.com/blog/health/sensitive-skin/the-12-lumps-and-bumps-of-canine-skin/,611,0.45,0,0.01,278000,"[46,53,46,53,46,46,53,68,68,100,84,84]",1579164490,"Image pack, Reviews, Video, Featured snippet",
diamond naturals large breed puppy food,1,1,1300,77.78,1.52,https://www.diamondpet.com/dog/diamond-naturals/large-breed-puppy-lamb-rice/,611,0.45,928,1,3000000,"[31,31,38,38,31,38,53,84,100,100,100,100]",1579479806,"Reviews, Featured snippet",
