Landing page path,GA Page path,Sessions,Change % Sessions,Goal conversion rate all goals,Change % Goal conversion rate all goals,Transaction revenue,Change % Transaction revenue,Ecommerce conversion rate,Bounce rate,Avg. time on page,Losing traffic?
/blog/health/sensitive-skin/the-12-lumps-and-bumps-of-canine-skin/,/blog/health/sensitive-skin/the-12-lumps-and-bumps-of-canine-skin/,297075,,0,,0,,0,94.53,328.48,No
/blog/health/sensitive-stomach/when-should-worry-doggy-diarrhea/,/blog/health/sensitive-stomach/when-should-worry-doggy-diarrhea/,141905,,0,,0,,0,93.7,330.69,No
/,/,116267,-16.87,0,,0,,0,13.66,32.5,Yes
/dog/diamond-naturals/,/dog/diamond-naturals/,50166,,0,,0,,0,27.18,76.2,No
/where-to-buy/,/where-to-buy/,46778,-25.21,0,,0,,0,20.27,95.03,Yes
/blog/culture/myths/debarking-pet-myths-giving-benadryl-claritin-pets/,/blog/culture/myths/debarking-pet-myths-giving-benadryl-claritin-pets/,26590,,0,,0,,0,95.03,258.09,No
/blog/health/renal/diet-matters-dogs-kidney-disease/,/blog/health/renal/diet-matters-dogs-kidney-disease/,22696,,0,,0,,0,78,134.93,No
/our-brands/diamond-naturals/,/our-brands/diamond-naturals/,19656,-55.3,0,,0,,0,0.15,18.46,Yes
/dog/diamond/puppy/,/dog/diamond/puppy/,15468,,0,,0,,0,67.99,110.34,No
/blog/health/sensitive-stomach/when-worry-about-vomiting-dog/,/blog/health/sensitive-stomach/when-worry-about-vomiting-dog/,15457,,0,,0,,0,92.17,291.16,No
/our-brands/diamond/puppy/,/our-brands/diamond/puppy/,9141,-57.33,0,,0,,0,0.47,26.52,Yes
/blog/culture/myths/does-neutering-cause-weight-gain/,/blog/culture/myths/does-neutering-cause-weight-gain/,8627,,0,,0,,0,93.66,270.9,No
/blog/category/health/,/blog/category/health/,8518,,0,,0,,0,54.07,76.18,No
/blog/adoption/rescues/guest-column-renaming-rescue-dogs/,/blog/adoption/rescues/guest-column-renaming-rescue-dogs/,8348,,0,,0,,0,92.61,297.57,No
/2016/07/19/debunking-myths-about-fleas/,/2016/07/19/debunking-myths-about-fleas/,8223,-72.37,0,,0,,0,0.43,19.23,Yes
/our-brands/diamond-naturals/large-breed-puppy-lamb-rice-formula/,/our-brands/diamond-naturals/large-breed-puppy-lamb-rice-formula/,8074,-47.58,0,,0,,0,0.36,26.26,Yes
/dog/diamond-naturals/large-breed-puppy-lamb-rice-vegetable/,/dog/diamond-naturals/large-breed-puppy-lamb-rice-vegetable/,7582,,0,,0,,0,66.29,104.43,No
/blog/health/weight-management/why-or-is-my-cat-fat/,/blog/health/weight-management/why-or-is-my-cat-fat/,7481,,0,,0,,0,93.14,251.63,No
/blog/health/renal/infection-disease-failure-trouble/,/blog/health/renal/infection-disease-failure-trouble/,6731,,0,,0,,0,91,255.79,No
