Landing page path,Sessions,Change % Sessions,Goal conversion rate all goals,Change % Goal conversion rate all goals,Transaction revenue,Change % Transaction revenue,Ecommerce conversion rate,Change % Ecommerce conversion rate,Bounce rate,Change % Bounce rate,Avg. time on page,Change % Avg. time on page,
/blog/health/sensitive-skin/the-12-lumps-and-bumps-of-canine-skin/,297075,,0,,0,,0,,94.53,,328.48,,
/blog/health/sensitive-stomach/when-should-worry-doggy-diarrhea/,141905,,0,,0,,0,,93.7,,330.69,,
/,116267,-16.87,0,,0,,0,,13.66,-11.3,32.5,22.61,
/dog/diamond-naturals/,50166,,0,,0,,0,,27.18,,76.2,,
/where-to-buy/,46778,-25.21,0,,0,,0,,20.27,49.57,95.03,43.69,
/blog/culture/myths/debarking-pet-myths-giving-benadryl-claritin-pets/,26590,,0,,0,,0,,95.03,,258.09,,
/blog/health/renal/diet-matters-dogs-kidney-disease/,22696,,0,,0,,0,,78,,134.93,,
/our-brands/diamond-naturals/,19656,-55.3,0,,0,,0,,0.15,-98.24,18.46,-25.84,
/dog/diamond/puppy/,15468,,0,,0,,0,,67.99,,110.34,,
/blog/health/sensitive-stomach/when-worry-about-vomiting-dog/,15457,,0,,0,,0,,92.17,,291.16,,
/our-brands/diamond/puppy/,9141,-57.33,0,,0,,0,,0.47,-98.39,26.52,-27.6,
/blog/culture/myths/does-neutering-cause-weight-gain/,8627,,0,,0,,0,,93.66,,270.9,,
/blog/category/health/,8518,,0,,0,,0,,54.07,,76.18,,
/blog/adoption/rescues/guest-column-renaming-rescue-dogs/,8348,,0,,0,,0,,92.61,,297.57,,
/2016/07/19/debunking-myths-about-fleas/,8223,-72.37,0,,0,,0,,0.43,-96.99,19.23,6.8,
/our-brands/diamond-naturals/large-breed-puppy-lamb-rice-formula/,8074,-47.58,0,,0,,0,,0.36,-98.67,26.26,-25.13,
/dog/diamond-naturals/large-breed-puppy-lamb-rice-vegetable/,7582,,0,,0,,0,,66.29,,104.43,,
/blog/health/weight-management/why-or-is-my-cat-fat/,7481,,0,,0,,0,,93.14,,251.63,,
/blog/health/renal/infection-disease-failure-trouble/,6731,,0,,0,,0,,91,,255.79,,
