Page path,Landing page,Impressions,Clicks,CTR (%),Average position
/blog/health/sensitive-skin/the-12-lumps-and-bumps-of-canine-skin/,/blog/health/sensitive-skin/the-12-lumps-and-bumps-of-canine-skin/,297075,,0,
/blog/health/sensitive-stomach/when-should-worry-doggy-diarrhea/,/blog/health/sensitive-stomach/when-should-worry-doggy-diarrhea/,141905,,0,
/,/,116267,-16.87,0,
/dog/diamond-naturals/,/dog/diamond-naturals/,50166,,0,
/where-to-buy/,/where-to-buy/,46778,-25.21,0,
/blog/culture/myths/debarking-pet-myths-giving-benadryl-claritin-pets/,/blog/culture/myths/debarking-pet-myths-giving-benadryl-claritin-pets/,26590,,0,
/blog/health/renal/diet-matters-dogs-kidney-disease/,/blog/health/renal/diet-matters-dogs-kidney-disease/,22696,,0,
/our-brands/diamond-naturals/,/our-brands/diamond-naturals/,19656,-55.3,0,
/dog/diamond/puppy/,/dog/diamond/puppy/,15468,,0,
/blog/health/sensitive-stomach/when-worry-about-vomiting-dog/,/blog/health/sensitive-stomach/when-worry-about-vomiting-dog/,15457,,0,
/our-brands/diamond/puppy/,/our-brands/diamond/puppy/,9141,-57.33,0,
/blog/culture/myths/does-neutering-cause-weight-gain/,/blog/culture/myths/does-neutering-cause-weight-gain/,8627,,0,
/blog/category/health/,/blog/category/health/,8518,,0,
/blog/adoption/rescues/guest-column-renaming-rescue-dogs/,/blog/adoption/rescues/guest-column-renaming-rescue-dogs/,8348,,0,
/2016/07/19/debunking-myths-about-fleas/,/2016/07/19/debunking-myths-about-fleas/,8223,-72.37,0,
/our-brands/diamond-naturals/large-breed-puppy-lamb-rice-formula/,/our-brands/diamond-naturals/large-breed-puppy-lamb-rice-formula/,8074,-47.58,0,
/dog/diamond-naturals/large-breed-puppy-lamb-rice-vegetable/,/dog/diamond-naturals/large-breed-puppy-lamb-rice-vegetable/,7582,,0,
/blog/health/weight-management/why-or-is-my-cat-fat/,/blog/health/weight-management/why-or-is-my-cat-fat/,7481,,0,
/blog/health/renal/infection-disease-failure-trouble/,/blog/health/renal/infection-disease-failure-trouble/,6731,,0,
